ABW|Aruba|Latin America & Caribbean |
PHL|Philippines|East Asia & Pacific|
PLW|Palau|East Asia & Pacific|
PNG|Papua New Guinea|East Asia & Pacific|
POL|Poland|Europe & Central Asia|
PRI|Puerto Rico|Latin America & Caribbean |
PRK|Korea, Dem. People's Rep.|East Asia & Pacific|
PRT|Portugal|Europe & Central Asia|
PRY|Paraguay|Latin America & Caribbean |
PYF|French Polynesia|East Asia & Pacific|
QAT|Qatar|Middle East & North Africa|
ROU|Romania|Europe & Central Asia|
RUS|Russian Federation|Europe & Central Asia|
RWA|Rwanda|Sub-Saharan Africa |
SAU|Saudi Arabia|Middle East & North Africa|
SDN|Sudan|Sub-Saharan Africa |
SEN|Senegal|Sub-Saharan Africa |
SGP|Singapore|East Asia & Pacific|
SLB|Solomon Islands|East Asia & Pacific|
SLE|Sierra Leone|Sub-Saharan Africa |
SLV|El Salvador|Latin America & Caribbean |
SMR|San Marino|Europe & Central Asia|
SOM|Somalia|Sub-Saharan Africa |
SRB|Serbia|Europe & Central Asia|
SSD|South Sudan|Sub-Saharan Africa |
STP|Sao Tome and Principe|Sub-Saharan Africa |
SUR|Suriname|Latin America & Caribbean |
SVK|Slovak Republic|Europe & Central Asia|
SVN|Slovenia|Europe & Central Asia|
SWE|Sweden|Europe & Central Asia|
SWZ|Eswatini|Sub-Saharan Africa |
SXM|Sint Maarten (Dutch part)|Latin America & Caribbean |
SYC|Seychelles|Sub-Saharan Africa |
SYR|Syrian Arab Republic|Middle East & North Africa|
TCA|Turks and Caicos Islands|Latin America & Caribbean |
TCD|Chad|Sub-Saharan Africa |
TGO|Togo|Sub-Saharan Africa |
THA|Thailand|East Asia & Pacific|
TJK|Tajikistan|Europe & Central Asia|
TKM|Turkmenistan|Europe & Central Asia|
TLS|Timor-Leste|East Asia & Pacific|
TON|Tonga|East Asia & Pacific|
TTO|Trinidad and Tobago|Latin America & Caribbean |
TUN|Tunisia|Middle East & North Africa|
TUR|Turkiye|Europe & Central Asia|
TUV|Tuvalu|East Asia & Pacific|
TZA|Tanzania|Sub-Saharan Africa |
UGA|Uganda|Sub-Saharan Africa |
UKR|Ukraine|Europe & Central Asia|
URY|Uruguay|Latin America & Caribbean |
USA|United States|North America|
UZB|Uzbekistan|Europe & Central Asia|
VCT|St. Vincent and the Grenadines|Latin America & Caribbean |
VEN|Venezuela, RB|Latin America & Caribbean |
VGB|British Virgin Islands|Latin America & Caribbean |
VIR|Virgin Islands (U.S.)|Latin America & Caribbean |
VNM|Viet Nam|East Asia & Pacific|
VUT|Vanuatu|East Asia & Pacific|
WSM|Samoa|East Asia & Pacific|
XKX|Kosovo|Europe & Central Asia|
YEM|Yemen, Rep.|Middle East & North Africa|
ZAF|South Africa|Sub-Saharan Africa |
ZMB|Zambia|Sub-Saharan Africa |
ZWE|Zimbabwe|Sub-Saharan Africa |
